State,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,"    Securities, commodity contracts, and other financial investments and related activities",Millions of current dollars,11565.6,12212.9,12724.6,14980.7,22173.2,19012.5,16596.6,17902.9,22181.5,24728.9,21238.9,9726.4,20023.4,20049.8,16621.5,24321,27206.2,23957.8,24282.1,30373.3,35979.2,37888.6,39894.2
California,    Insurance carriers and related activities,Millions of current dollars,19276.2,20684.5,21253.9,22846.6,23034.2,23904.7,27366.2,31817.2,33749,34903.5,34689.3,29370.9,30633.9,28898.1,30070.8,31358.8,31355.3,36835.7,39423,36573.6,39794.3,42282.6,42430.6
California,"    Funds, trusts, and other financial vehicles",Millions of current dollars,294.8,546,653,741.2,828.1,1352.1,2434,3132.2,3720.7,4164.2,2777.6,1724.1,2007.2,1337.8,370.6,204.6,484.2,1704,1108.2,1507.5,1705,2053.3,2170.9
California,   Real estate and rental and leasing,Millions of current dollars,162505.2,169974,178779,185986.2,192695.9,202581.4,206672.5,213498.2,228529.2,237459.2,257327.6,278252.6,287146.8,300121.8,306889.9,315679.6,327781.6,331737,334699,343532.4,365468.6,385819.1,405775.9
California,    Real estate,Millions of current dollars,150653,157208.5,164644.4,170851.5,176642,187369.2,191125.2,196735.7,209691.3,213830.8,234930.2,252841.7,263982.9,276241.4,281850.4,286510.7,297815.4,303524.9,307948.9,319234.8,336679.4,353822.7,372314
California,    Rental and leasing services and lessors of nonfinancial intangible assets,Millions of current dollars,11852.2,12765.5,14134.6,15134.7,16053.9,15212.2,15547.3,16762.5,18837.9,23628.4,22397.4,25410.9,23163.9,23880.5,25039.5,29168.9,29966.1,28212.1,26750.2,24297.6,28789.2,31996.4,33461.9
California,  Professional and business services,Millions of current dollars,125666.9,137866.5,154276.6,181954,181756.2,180011.5,186886.7,195745.4,207069.3,222911.3,241608.6,261470.5,245282.7,255369.3,272702.4,294427.2,293932.5,313318.3,337246.1,348553.9,367682.5,398127.9,423700.2
California,"   Professional, scientific, and technical services",Millions of current dollars,75480.8,82567.3,94685.2,111722.3,112872.2,113285.5,117213.7,121782.2,131264.7,142660.1,155520.6,174905.9,164283.6,170262.3,182968,200060.3,196905.4,210617.2,228860.2,232272.5,243915.2,265462.3,284381.1
California,    Legal services,Millions of current dollars,13453.7,15373,16247,17736.1,19546.1,20355.2,21838.4,23442.5,25913.1,27169.6,29454.3,33916.4,30309.6,29220.3,30971.8,30758.9,30645.1,31798.4,33789.5,35349.2,35964.8,36925.2,39292.7
California,    Computer systems design and related services,Millions of current dollars,12876.6,14315.4,17379.1,23636.1,22468.9,19563.7,21729.4,21570.9,23354.1,25363.7,28841.9,31567.8,31481.3,34599.9,39802.2,51681.5,45379.9,49433.1,54816,59288.6,65092.2,72856.3,78348.2
California,"    Miscellaneous professional, scientific, and technical services",Millions of current dollars,49150.5,52878.9,61059.2,70350.1,70857.1,73366.6,73645.9,76768.8,81997.5,90126.8,97224.4,109421.7,102492.7,106442.2,112194,117619.9,120880.3,129385.6,140254.7,137634.7,142858.2,155680.8,166740.1
California,   Management of companies and enterprises,Millions of current dollars,20541.7,23939.5,25971.5,32061.6,27985.1,25295.5,25444.2,26217.8,24833.8,25692.6,26718.4,26423.7,25223.5,26557.5,28541.9,30044.7,34008.6,35900.5,37798.9,39360.2,40478.6,46253.9,46818.1
California,   Administrative and support and waste management and remediation services,Millions of current dollars,29644.4,31359.6,33619.8,38170,40898.9,41430.5,44228.7,47745.4,50970.8,54558.6,59369.6,60140.9,55775.6,58549.4,61192.5,64322.2,63018.5,66800.6,70587.1,76921.2,83288.7,86411.7,92501
California,    Administrative and support services,Millions of current dollars,27279.2,28859.4,30758.6,35211.1,37610.1,37872.9,40458.3,43891.9,46956.6,50855.5,55081.5,55625.3,51089.6,52920,56170.7,59197.4,57694.2,61077.1,64755.9,70754,76471,79023.4,84753.5
California,    Waste management and remediation services,Millions of current dollars,2365.2,2500.2,2861.3,2958.9,3288.8,3557.6,3770.4,3853.5,4014.2,3703.1,4288.1,4515.6,4686,5629.4,5021.8,5124.8,5324.4,5723.6,5831.2,6167.2,6817.7,7388.3,7747.5
California,"  Educational services, health care, and social assistance",Millions of current dollars,61613.7,64453.5,68539.7,73196.5,78901.8,87111.5,93748.4,101224.6,105556.1,112770.4,118726.8,131351.3,140973.8,147660.8,154785.3,162718.1,168259.4,174617.6,185743.2,197541.7,206425.5,217514.4,230573.5
