state_name,year,population,land_area_sqkm,pop_density
Maine,1997,1256410.2559999998,79883,15.72813059098932
Maine,1998,1261437.908,79883,15.79106828737028
Maine,1999,1266750.157,79883,15.857568656660364
Maine,2000,1274397.245,79883,15.953297259742374
Maine,2001,1286206.897,79883,16.101134121152185
Maine,2002,1298913.043,79883,16.260193570597
Maine,2003,1307692.308,79883,16.370095114104377
Maine,2004,1316939.891,79883,16.485859206589637
Maine,2005,1320000,79883,16.524166593643205
Maine,2006,1325000,79883,16.58675813377064
Maine,2007,1322784.8099999998,79883,16.55902770301566
Maine,2008,1328671.3290000001,79883,16.632716961055547
Maine,2009,1326086.957,79883,16.6003649963071
Maine,2010,1328358.2089999998,79883,16.6287972284466
Maine,2011,1330769.2310000001,79883,16.658979144498833
Maine,2012,1322033.898,79883,16.549627555299626
Maine,2013,1333333.3329999999,79883,16.691077363143595
Maine,2014,1322580.645,79883,16.556471902657638
Maine,2015,1325396.825,79883,16.591725711352854
Maine,2016,1338842.9749999999,79883,16.760048758809756
Maine,2017,1339130.435,79883,16.763647271634767
Maine,2018,1345454.545,79883,16.84281442860183
Maine,2019,1345794.393,79883,16.847068750547674
Maryland,1997,5163120.567,25142,205.3583870416037
Maryland,1998,5205479.452,25142,207.0431728581656
Maryland,1999,5254679.143999999,25142,209.00004550155117
Maryland,2000,5311231.394,25142,211.24935939861587
Maryland,2001,5375510.204,25142,213.80599013602736
Maryland,2002,5455172.414,25142,216.9744815050513
Maryland,2003,5480000,25142,217.96197597645374
Maryland,2004,5560000,25142,221.14390263304432
Maryland,2005,5592105.262999999,25142,222.42086003500117
Maryland,2006,5625899.2809999995,25142,223.76498611884494
Maryland,2007,5647482.014,25142,224.6234195370297
Maryland,2008,5694656.489,25142,226.49974103094425
Maryland,2009,5712000,25142,227.18956328056638
Maryland,2010,5804878.049,25142,230.88370252963168
Maryland,2011,5817391.3040000005,25142,231.3814057751969
Maryland,2012,5886792.453,25142,234.1417728502108
Maryland,2013,5923076.923,25142,235.58495437912657
Maryland,2014,5944444.444,25142,236.43482793731604
Maryland,2015,5990384.615,25142,238.2620561212314
Maryland,2016,5990099.01,25142,238.25069644419696
Maryland,2017,6043956.044,25142,240.39281059581575
Maryland,2018,6049019.608,25142,240.59420921167768
Maryland,2019,6053191.488999999,25142,240.76014195370294
Massachusetts,1997,6218978.102,20202,307.8397238887239
Massachusetts,1998,6295454.545,20202,311.6253116028116
Massachusetts,1999,6319248.826,20202,312.8031296901297
Massachusetts,2000,6360123.648,20202,314.8264354024354
